service_id,service_name,origin,destination,date,price
F001,Flight 1,Delhi,Kolkata,20-04-2025,4000
F002,Flight 2,Mumbai,Goa,21-04-2025,4150
F003,Flight 3,Chennai,Ahmedabad,22-04-2025,4300
F004,Flight 4,Delhi,Kolkata,23-04-2025,4450
F005,Flight 5,Mumbai,Goa,24-04-2025,4600
F006,Flight 6,Chennai,Ahmedabad,25-04-2025,4750
F007,Flight 7,Delhi,Kolkata,26-04-2025,4900
F008,Flight 8,Mumbai,Goa,27-04-2025,5050
F009,Flight 9,Chennai,Ahmedabad,28-04-2025,5200
F010,Flight 10,Delhi,Kolkata,29-04-2025,5350
F011,Flight 11,Mumbai,Goa,30-04-2025,5500
F012,Flight 12,Chennai,Ahmedabad,01-05-2025,5650
F013,Flight 13,Delhi,Kolkata,02-05-2025,5800
F014,Flight 14,Mumbai,Goa,03-05-2025,5950
F015,Flight 15,Chennai,Ahmedabad,04-05-2025,6100
B001,Bus 1,Pune,Nashik,20-04-2025,600
B002,Bus 2,Nagpur,Ujjain,21-04-2025,750
B003,Bus 3,Indore,Aurangabad,22-04-2025,900
B004,Bus 4,Pune,Nashik,23-04-2025,1050
B005,Bus 5,Nagpur,Ujjain,24-04-2025,1200
B006,Bus 6,Indore,Aurangabad,25-04-2025,1350
B007,Bus 7,Pune,Nashik,26-04-2025,1500
B008,Bus 8,Nagpur,Ujjain,27-04-2025,1650
B009,Bus 9,Indore,Aurangabad,28-04-2025,1800
B010,Bus 10,Pune,Nashik,29-04-2025,1950
B011,Bus 11,Nagpur,Ujjain,30-04-2025,2100
B012,Bus 12,Indore,Aurangabad,01-05-2025,2250
B013,Bus 13,Pune,Nashik,02-05-2025,2400
B014,Bus 14,Nagpur,Ujjain,03-05-2025,2550
B015,Bus 15,Indore,Aurangabad,04-05-2025,2700
HS001,Homestay Haven,Coorg,N/A,20-04-2025,2200
HS002,Homestay Retreat,Darjeeling,N/A,21-04-2025,2300
HS003,Homestay Nest,Alleppey,N/A,22-04-2025,2400
HS004,Homestay Cottage,Coorg,N/A,23-04-2025,2500
HS005,Homestay Hillside,Darjeeling,N/A,24-04-2025,2600
HS006,Homestay Lakeview,Alleppey,N/A,25-04-2025,2700
HS007,Homestay Riverside,Coorg,N/A,26-04-2025,2800
HS008,Homestay Woods,Darjeeling,N/A,27-04-2025,2900
HS009,Homestay Breeze,Alleppey,N/A,28-04-2025,3000
HS010,Homestay Sundown,Coorg,N/A,29-04-2025,3100
HS011,Homestay Echo,Darjeeling,N/A,30-04-2025,3200
HS012,Homestay Hideout,Alleppey,N/A,01-05-2025,3300
HS013,Homestay Shore,Coorg,N/A,02-05-2025,3400
HS014,Homestay Lush,Darjeeling,N/A,03-05-2025,3500
HS015,Homestay Terrace,Alleppey,N/A,04-05-2025,3600
H001,Hotel Orchid,Delhi,N/A,20-04-2025,3000
H002,Hotel Taj,Chennai,N/A,21-04-2025,3100
H003,Hotel BlueMoon,Mumbai,N/A,22-04-2025,3200
H004,Hotel Marigold,Delhi,N/A,23-04-2025,3300
H005,Hotel Vista,Chennai,N/A,24-04-2025,3400
H006,Hotel Regency,Mumbai,N/A,25-04-2025,3500
H007,Hotel Sunshine,Delhi,N/A,26-04-2025,3600
H008,Hotel Pearl,Chennai,N/A,27-04-2025,3700
H009,Hotel Lotus,Mumbai,N/A,28-04-2025,3800
H010,Hotel Crown,Delhi,N/A,29-04-2025,3900
H011,Hotel Horizon,Chennai,N/A,30-04-2025,4000
H012,Hotel Empire,Mumbai,N/A,01-05-2025,4100
H013,Hotel Ginger,Delhi,N/A,02-05-2025,4200
H014,Hotel Bloom,Chennai,N/A,03-05-2025,4300
H015,Hotel Oasis,Mumbai,N/A,04-05-2025,4400
T001,Train 1,Kanpur,Jaipur,20-04-2025,1200
T002,Train 2,Ranchi,Shimla,21-04-2025,1350
T003,Train 3,Raipur,Trivandrum,22-04-2025,1500
T004,Train 4,Kanpur,Jaipur,23-04-2025,1650
T005,Train 5,Ranchi,Shimla,24-04-2025,1800
T006,Train 6,Raipur,Trivandrum,25-04-2025,1950
T007,Train 7,Kanpur,Jaipur,26-04-2025,2100
T008,Train 8,Ranchi,Shimla,27-04-2025,2250
T009,Train 9,Raipur,Trivandrum,28-04-2025,2400
T010,Train 10,Kanpur,Jaipur,29-04-2025,2550
T011,Train 11,Ranchi,Shimla,30-04-2025,2700
T012,Train 12,Raipur,Trivandrum,01-05-2025,2850
T013,Train 13,Kanpur,Jaipur,02-05-2025,3000
T014,Train 14,Ranchi,Shimla,03-05-2025,3150
T015,Train 15,Raipur,Trivandrum,04-05-2025,3300
